Spawner List
Spawner1 5139 2586
Spawner2 5024 1547
Spawner3 479 31
Spawner4 1896 3733
Spawner5 1856 1852
Spawner6 -931 3284
Spawner7 4609 -769
Spawner8 5072 -951
Spawner9 1083 -311
Spawner10 1657 2537
Spawner11 3325 351
Spawner12 1195 -552
Spawner13 2156 3219
Spawner14 4980 2293
Spawner15 1407 1839
Spawner16 3700 2529
Spawner17 -1169 1958
Spawner18 4946 3879
Spawner19 4402 -827
Spawner20 4585 -77
Spawner21 4801 1177
Spawner22 425 3258
Spawner23 4290 2763
Spawner24 2231 1181
Spawner25 4690 3192
Spawner26 -234 821
Spawner27 -1210 -223
Spawner28 4567 2390
Spawner29 825 3211
Spawner30 5410 1195
